Hour,Gross Sales,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Month,date,Year
12,28.32,0,0,0,0,0,1,0,2,12,2019
13,36.88,0,0,0,0,0,1,0,2,12,2019
14,53.37,0,0,0,0,0,1,0,2,12,2019
15,29.44,0,0,0,0,0,1,0,2,12,2019
16,99.83,0,0,0,0,0,1,0,2,12,2019
17,72.12,0,0,0,0,0,1,0,2,12,2019
18,44.45,0,0,0,0,0,1,0,2,12,2019
19,51.09,0,0,0,0,0,1,0,2,12,2019
20,67.67,0,0,0,0,0,1,0,2,12,2019
21,7.49,0,0,0,0,0,1,0,2,12,2019
22,48.5,0,0,0,0,0,1,0,2,12,2019
23,7.9,0,0,0,0,0,1,0,2,12,2019
12,48.01,0,0,0,0,0,0,1,2,13,2019
13,28.63,0,0,0,0,0,0,1,2,13,2019
14,123.89,0,0,0,0,0,0,1,2,13,2019
15,120.16,0,0,0,0,0,0,1,2,13,2019
16,105.77,0,0,0,0,0,0,1,2,13,2019
17,85.59,0,0,0,0,0,0,1,2,13,2019
18,53.45,0,0,0,0,0,0,1,2,13,2019
19,55.41,0,0,0,0,0,0,1,2,13,2019
20,55.02,0,0,0,0,0,0,1,2,13,2019
21,39.62,0,0,0,0,0,0,1,2,13,2019
22,44.82,0,0,0,0,0,0,1,2,13,2019
23,59.12,0,0,0,0,0,0,1,2,13,2019
12,52.11,0,0,0,0,1,0,0,2,14,2019
13,35.95,0,0,0,0,1,0,0,2,14,2019
14,130.06,0,0,0,0,1,0,0,2,14,2019
15,173.99,0,0,0,0,1,0,0,2,14,2019
16,84.54,0,0,0,0,1,0,0,2,14,2019
17,130.96,0,0,0,0,1,0,0,2,14,2019
18,88.89,0,0,0,0,1,0,0,2,14,2019
19,76.89,0,0,0,0,1,0,0,2,14,2019
20,75.55,0,0,0,0,1,0,0,2,14,2019
